Estado,Ciudad,Zona_Escalada,Outdoor_o_Indoor,Tipo_de_Escalada,Calificacion_Promedio,Accesibilidad,Fuente,Insignia_Reconocimiento
Aguascalientes,Jesús María,Tapias Viejas,Outdoor,Deportiva,4.5,Media,Locales,
Aguascalientes,Jesús María,El Ocote,Outdoor,Deportiva-Boulder,4.6,Media,TheCrag-Google Maps,*
Aguascalientes,Jesús María,El Garabato,Outdoor,Deportiva,NULL,Media,TheCrag,
Aguascalientes,Jesús María,Apache Boulder Zone,Outdoor,Boulder,NULL,Media,Locales,
Aguascalientes,Jesús María,El Colmillo,Outdoor,Deportiva,NULL,Media,TheCrag,
Aguascalientes,Jesús María,La Muela,Outdoor,Deportiva-Boulder,3.8,Facil,TheCrag-Locales,
Aguascalientes,Calvillo,El Garruño,Outdoor,Boulder,NULL,Media,Locales,
Aguascalientes,Aguascalientes,Drop Climbing,Indoor,Boulder,4.9,Facil,Google Maps,
Aguascalientes,Aguascalientes,Crux Sala Boulder,Indoor,Boulder,4.7,Facil,Google Maps,
Aguascalientes,Aguascalientes,Santuario Boulder,Indoor,Boulder,4.9,Facil,Google Maps,
Baja California Norte,Tecate,La Rumorosa,Outdoor,Deportiva,4.5,Media,AllTrails,
Baja California Norte,Ensenada,Cataviña,Outdoor,Deportiva-Boulder,4.5,Media,Mountain Project,
Baja California Norte,Ensenada,Cañon El Tajo,Outdoor,Deportiva,4.7,Muy Dificil,Mountain Project,
Baja California Norte,Mexicali,Valle Azteca,Outdoor,Deportiva,4.3,Facil,Mountain Project,
Baja California Norte,Ensenada,Piedras Gordas,Outdoor,Deportiva,4.2,Facil,AllTrails,
Baja California Norte,Mexicali,Rock On Climbing Gym,Indoor,Boulder,4.8,Facil,Google Maps,
Baja California Norte,Ensenada,Dos Cumbres,Outdoor,Deportiva,3.5,Media,Mountain Project,
Baja California Sur,Todos Santos,La Poza,Outdoor,Boulder,4.4,Media,TheCrag,
Baja California Sur,Loreto,Cañon Tabor,Outdoor,Deportiva,4.4,Dificil,AllTrails,
Baja California Sur,La Paz,Arroyo Cajoncito,Outdoor,Deportiva,NULL,Facil,TheCrag,
Baja California Sur,Los Cabos,Cañon de la Zorra,Outdoor,Psicobloc,NULL,Media,TheCrag,
Baja California Sur,La Paz,Azend Studio,Indoor,Boulder,4.7,Facil,Google Maps,
Chiapas,San Cristobal de las Casas,Cerro de Don Lauro,Outdoor,Deportiva,4.5,Media,Google Maps,
Chiapas,San Cristobal de las Casas,El Arcotete,Outdoor,Deportiva,4.8,Media,TheCrag,*
Chiapas,San Cristobal de las Casas,Castillo del Dragon,Outdoor,Boulder,5,Dificil,TripAdvisor,*
Chiapas,San Cristobal de las Casas,Revolución,Outdoor,Deportiva,NULL,Media,TheCrag,
Chiapas,San Cristobal de las Casas,Las Canastas,Outdoor,Deportiva,NULL,Media,TheCrag,
Chiapas,San Cristobal de las Casas,Peña María,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Chiapas,San Felipe,El Retiro,Outdoor,Deportiva-Boulder,NULL,Media,Mountain Project,
Chiapas,San Cristobal de las Casas,La Roca Sala de Escalada,Indoor,Boulder,4.8,Facil,Google Maps,
Chiapas,San Cristobal de las Casas,Montetik,Outdoor,Boulder,NULL,Media,TheCrag,
Chiapas,Tuxtla Gutierrez,Cañon del Sumidero,Outdoor,Deportiva,NULL,Muy Dificil,TheCrag,
Chiapas,Tuxtla Gutierrez,Paredes de Copoya,Outdoor,Deportiva,NULL,Dificil,TheCrag,
Chiapas,Tuxtla Gutierrez,Inercia Sala de Escalada,Indoor,Boulder,4.9,Facil,Google Maps,
Chiapas,Tuxtla Gutierrez,Skala Boulder Gym,Indoor,Boulder,4.8,Facil,Google Maps,
Chihuahua,Ocampo,Basaseachi El Gigante,Outdoor,Deportiva,4.8,Muy Dificil,NA,
Chihuahua,Chihuahua,Majalca,Outdoor,Deportiva,NULL,Dificil,NA,
Chihuahua,El Aguaje,Boulderlandia,Outdoor,Boulder,NULL,Media,NA,
Chihuahua,Coronado,Peñoles,Outdoor,Boulder,5,Dificil,TheCrag-Locales,*
Chihuahua,Ciudad Juarez,El Camino Real,Outdoor,Deportiva,NULL,Dificil,TheCrag,
Chihuahua,Aquiles Serdan,San Antonio,Outdoor,Deportiva,NULL,Dificil,TheCrag,
Chihuahua,Chihuahua,Ika Climbing,Indoor,Deportiva-Boulder,4.9,Facil,Google Maps,
Ciudad de México,Ciudad de México,UNAM,Outdoor,Deportiva-Boulder,NULL,Facil,TheCrag,
Ciudad de México,Ciudad de México,Los Dinamos,Outdoor,Deportiva-Tradicional-Boulder,4.7,Media,Google Maps,
Ciudad de México,Ciudad de México,Onix Sala de Escalada,Indoor,Boulder,4.6,Facil,Google Maps,
Ciudad de México,Ciudad de México,Levita - Centro de Escalada,Indoor,Boulder,4.4,Facil,Google Maps,
Ciudad de México,Ciudad de México,V+ Bouldering & Sport Center,Indoor,Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,Adamanta Escandón - Climbing Gym,Indoor,Boulder,4.8,Facil,Google Maps,
Ciudad de México,Ciudad de México,Toka Climbing,Indoor,Boulder,4.8,Facil,Google Maps,
Ciudad de México,Ciudad de México,Casa Boulder,Indoor,Deportiva-Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,RockSolid,Indoor,Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,The Wall,Indoor,Deportiva,4.4,Facil,Google Maps,
Ciudad de México,Ciudad de México,Adamanta Santa Fé - Climbing Gym,Indoor,Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,Axo Climb,Indoor,Boulder,4.2,Facil,Google Maps,
Ciudad de México,Ciudad de México,Ascendum,Indoor,Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,Amanecer Climbing,Indoor,Boulder,5,Facil,Google Maps,
Ciudad de México,Ciudad de México,Adamanta Del Valle - Climbing Gym,Indoor,Boulder,4.2,Facil,Google Maps,
Coahuila,Saltillo,Cañón de San Lorenzo,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Coahuila,Saltillo,Piedritas-Altamira,Outdoor,Boulder,NULL,Media,TheCrag,
Coahuila,Torreón,Las Noas,Outdoor,Deportiva,NULL,Facil,TheCrag,
Coahuila,Torreón,Cañón del Indio,Outdoor,Deportiva,NULL,Facil,TheCrag,
Coahuila,Candela,Cerro del Frentón,Outdoor,Deportiva,NULL,Facil,ProgramaDestinosMexico,
Coahuila,Saltillo,Monkey Climb,Indoor,Deportiva,4.9,Facil,Google Maps,
Colima,Comala,Peñas de Tepames,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Colima,Villa de Álvarez,Juluapan Boulder,Outdoor,Boulder,NULL,Media,TheCrag,
Colima,Colima,Kame Colima Climbing,Indoor,Boulder,NULL,Facil,Google Maps,
Durango,Lerdo,La Presa-Cañón de Fernandez,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Durango,Dinamita,Dinamita,Outdoor,Boulder,NULL,Media,TheCrag,
Durango,Santiago Bayacora,Parque Bayacora,Outdoor,Deportiva,4.9,Media,Google Maps,
Durango,Durango,Los Balcones,Outdoor,Deportiva-Tradicional,NULL,Dificil,TheCrag,
Durango,Durango,Chupaderos,Outdoor,Deportiva,NULL,Media,TheCrag,
